TITLE     = ""
VARIABLES = "V1"
"V2"
"V3"
"V4"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=13.8952323241,Y=5.79320545209
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV
H=5 A=0
MFC=""
T="0                                                              10"
TEXT
CS=FRAME
C=BLACK 
S=LOCAL
X=45.0271784401,Y=61.6514555726
HU=FRAME
LS=1 AN=LEFT
BXM=20 LT=0.1 BXO=BLACK BXF=WHITE 
F=HELV-BOLD
H=3 A=0
MFC=""
 1.375000000E+001 -4.040100098E+001 -4.275299835E+001 -2.351997375E+000
 1.380000019E+001 -4.321099854E+001 -4.507699966E+001 -1.866001129E+000
 1.385000038E+001 -4.578300095E+001 -4.718600082E+001 -1.402999878E+000
 1.389999962E+001 -4.809199905E+001 -4.905400085E+001 -9.620018005E-001
 1.394999981E+001 -5.012099838E+001 -5.067399979E+001 -5.530014038E-001
 1.400000000E+001 -5.187300110E+001 -5.204999924E+001 -1.769981384E-001
 1.405000019E+001 -5.335900116E+001 -5.319699860E+001 1.620025635E-001
 1.410000038E+001 -5.460100174E+001 -5.413600159E+001 4.650001526E-001
 1.414999962E+001 -5.562599945E+001 -5.489099884E+001 7.350006104E-001
 1.419999981E+001 -5.645800018E+001 -5.548400116E+001 9.739990234E-001
 1.425000000E+001 -5.712300110E+001 -5.593700027E+001 1.186000824E+000
 1.430000019E+001 -5.764400101E+001 -5.626900101E+001 1.375000000E+000
 1.435000038E+001 -5.804000092E+001 -5.649700165E+001 1.542999268E+000
 1.439999962E+001 -5.832799911E+001 -5.663499832E+001 1.693000793E+000
 1.444999981E+001 -5.852299881E+001 -5.669699860E+001 1.826000214E+000
 1.450000000E+001 -5.863899994E+001 -5.669499969E+001 1.944000244E+000
 1.455000019E+001 -5.868700027E+001 -5.663700104E+001 2.049999237E+000
 1.460000038E+001 -5.867499924E+001 -5.653300095E+001 2.141998291E+000
 1.464999962E+001 -5.861299896E+001 -5.638899994E+001 2.223999023E+000
 1.469999981E+001 -5.850799942E+001 -5.621200180E+001 2.295997620E+000
 1.475000000E+001 -5.836600113E+001 -5.600799942E+001 2.358001709E+000
 1.480000019E+001 -5.819300079E+001 -5.578099823E+001 2.412002563E+000
 1.485000038E+001 -5.799200058E+001 -5.553599930E+001 2.456001282E+000
 1.489999962E+001 -5.776900101E+001 -5.527500153E+001 2.493999481E+000
 1.494999981E+001 -5.752700043E+001 -5.500299835E+001 2.524002075E+000
 1.500000000E+001 -5.726900101E+001 -5.472100067E+001 2.548000336E+000
 1.505000019E+001 -5.699700165E+001 -5.443299866E+001 2.564002991E+000
 1.510000038E+001 -5.671500015E+001 -5.413999939E+001 2.575000763E+000
 1.514999962E+001 -5.642399979E+001 -5.384299850E+001 2.581001282E+000
 1.519999981E+001 -5.612599945E+001 -5.354499817E+001 2.581001282E+000
 1.525000000E+001 -5.582300186E+001 -5.324599838E+001 2.577003479E+000
 1.530000019E+001 -5.551599884E+001 -5.294900131E+001 2.566997528E+000
 1.535000038E+001 -5.520500183E+001 -5.265200043E+001 2.553001404E+000
 1.539999962E+001 -5.489400101E+001 -5.235800171E+001 2.535999298E+000
 1.544999981E+001 -5.458100128E+001 -5.206700134E+001 2.513999939E+000
 1.550000000E+001 -5.426800156E+001 -5.177899933E+001 2.489002228E+000
 1.555000019E+001 -5.395600128E+001 -5.149399948E+001 2.462001801E+000
 1.560000038E+001 -5.364500046E+001 -5.121300125E+001 2.431999207E+000
 1.564999962E+001 -5.333599854E+001 -5.093700027E+001 2.398998260E+000
 1.569999981E+001 -5.302899933E+001 -5.066500092E+001 2.363998413E+000
 1.575000000E+001 -5.272399902E+001 -5.039599991E+001 2.327999115E+000
 1.580000019E+001 -5.242100143E+001 -5.013199997E+001 2.289001465E+000
 1.585000038E+001 -5.212099838E+001 -4.987200165E+001 2.248996735E+000
