 39.5000 -76.48020     0.00   0.04314    64.12 
 39.6000 -76.38950     0.00  -0.13701    63.32 
 39.7000 -76.52550     0.00  -0.29981    62.63 
 39.8000 -76.43818     0.00  -0.33958    62.03 
 39.9000 -76.52817     0.00  -0.04688    61.55 
 40.0000 -76.45273     0.00  -0.54287    61.18 
 40.1000 -76.53559     0.00   0.27963    62.76 
 40.2000 -76.33546     0.00   0.62187    62.73 
 40.3000 -76.74113     0.00   0.40514    62.81 
 40.4000 -76.58384     0.00   0.89530    62.98 
 40.5000 -76.67653     0.00   1.10981    63.24 
 40.6000 -76.69625     0.00   0.38975    63.60 
 40.7000 -76.22696     0.00  -1.11579    64.05 
 40.8000 -76.68488     0.00  -0.31772    64.59 
 40.9000 -76.13340     0.00  -0.12691    65.21 
 41.0000 -76.14542     0.00  -0.00387    65.90 
 41.1000 -76.15120     0.00   0.33410    69.22 
 41.2000 -75.91519     0.00   0.73315    70.25 
 41.3000 -75.97853     0.00   0.26590    71.35 
 41.4000 -76.27943     0.00  -0.25477    72.50 
 41.5000 -76.54067     0.00   0.09439    73.71 
 41.6000 -76.24129     0.00   0.12158    74.95 
 41.7000 -76.10997     0.00   0.47159    76.24 
 41.8000 -76.18437     0.00   0.40256    77.56 
 41.9000 -75.95651     0.00  -0.35852    78.90 
 42.0000 -76.04291     0.00   0.15268    80.27 
 42.1000 -76.17600     0.00   0.19230    84.81 
 42.2000 -76.56456     0.00   0.09592    86.44 
 42.3000 -76.61452     0.00  -0.06250    88.07 
 42.4000 -77.06451     0.00   0.26499    89.69 
 42.5000 -77.12339     0.00   0.51459    91.29 
 42.6000 -76.95641     0.00   0.34868    92.87 
 42.7000 -76.89353     0.00   0.12521    94.42 
 42.8000 -76.98182     0.00  -0.76642    95.93 
 42.9000 -76.76419     0.00  -0.03902    97.40 
 43.0000 -76.70202     0.00   0.07340    98.82 
 43.1000 -76.52475     0.00  -0.30118   103.68 
 43.2000 -76.80464     0.00   0.17086   105.25 
 43.3000 -76.43859     0.00   0.05707   106.76 
 43.4000 -76.33836     0.00   0.68946   108.19 
 43.5000 -76.67722     0.00   0.18115   109.53 
 43.6000 -76.82953     0.00  -0.19333   110.79 
 43.7000 -76.96773     0.00   0.28005   111.96 
 43.8000 -77.18441     0.00  -0.80690   113.03 
 43.9000 -77.01638     0.00   0.47909   114.00 
 44.0000 -77.29497     0.00  -0.23799   114.87 
 44.1000 -77.39224     0.00   0.46308   119.06 
 44.2000 -77.32447     0.00   0.60437   119.98 
 44.3000 -77.70307     0.00   0.93760   120.78 
 44.4000 -77.69358     0.00  -0.04561   121.46 
 44.5000 -77.52953     0.00   0.02401   122.01 
 44.6000 -77.35178     0.00   0.82075   122.45 
 44.7000 -77.11996     0.00  -0.30826   122.76 
 44.8000 -77.32209     0.00  -0.82418   122.94 
 44.9000 -76.92091     0.00  -0.93721   123.00 
 45.0000 -76.78616     0.00  -0.46060   122.94 
